Date_time,PM10,NO2,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-01-01,17.62,43.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-02,23.68,63.0,1,0.0,1.0,0.0,1.0,0
2018-01-03,24.03,55.2,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-04,15.83,65.5,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-05,23.5,81.5,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-06,27.93,81.4,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-07,23.2,41.6,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-08,23.22,54.8,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-09,35.01,53.8,1,0.0,1.0,0.0,1.0,0
2018-01-10,28.15,84.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-11,30.41,93.5,2,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-12,37.85,73.4,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-13,36.93,64.8,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-14,43.09,78.0,2,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-15,17.88,60.4,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-16,16.13,71.2,1,0.0,1.0,0.0,1.0,0
2018-01-17,24.05,67.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-18,20.03,86.6,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-19,20.67,97.8,2,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-20,13.01,84.4,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-21,14.62,85.2,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-22,17.8,95.75,2,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-23,23.14,90.4,2,0.0,1.0,0.0,1.0,0
2018-01-24,16.01,56.6,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-25,18.2,85.2,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-26,32.7,96.2,2,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-27,31.59,84.6,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-28,17.88,60.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-29,19.5,71.4,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-30,21.5,83.0,1,0.0,1.0,0.0,1.0,0
2018-01-31,13.63,82.4,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-02-01,22.49,83.2,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-02,26.44,75.2,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-03,22.09,71.2,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-04,15.94,60.4,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-05,25.89,60.8,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-06,29.95,65.8,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-07,37.3,66.2,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-08,51.73,119.8,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-09,45.3,88.4,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-10,28.16,73.6,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-11,18.69,69.6,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-12,33.13,98.8,2,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-13,35.1,81.6,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-14,26.47,76.4,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-15,22.28,109.4,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-16,40.15,106.6,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-17,38.46,97.4,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-18,47.89,91.0,2,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-19,34.69,79.4,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-20,24.33,78.25,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-21,66.75,74.6,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-22,54.96,79.4,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-23,34.2,82.4,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-24,38.33,80.4,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-25,24.55,74.4,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
