Date_time,PM10,NO2,O3,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-01-01,12.04,37.0,66.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-02,18.87,60.67,62.0,1,0.0,1.0,0.0,1.0,0
2018-01-03,16.42,36.67,70.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-04,10.86,55.67,57.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-05,15.95,73.0,71.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-06,24.65,77.67,52.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-07,23.04,41.0,47.5,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-08,24.56,53.0,16.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-09,39.55,59.0,29.0,1,0.0,1.0,0.0,1.0,0
2018-01-10,22.78,80.0,47.5,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-11,27.92,76.67,27.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-12,36.65,67.67,24.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-13,39.12,67.0,18.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-14,43.87,81.33,20.0,2,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-15,14.46,60.0,54.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-16,9.94,48.0,72.0,1,0.0,1.0,0.0,1.0,0
2018-01-17,13.89,46.33,72.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-18,13.15,58.0,64.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-19,10.54,70.33,65.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-20,9.35,64.67,50.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-21,14.37,77.67,47.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-22,11.32,64.33,52.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-23,16.56,82.67,60.0,1,0.0,1.0,0.0,1.0,0
2018-01-24,10.21,54.67,47.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-25,12.78,76.33,67.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-26,29.52,97.0,48.0,2,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-27,29.27,82.0,32.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-28,13.95,54.33,43.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-29,8.84,51.67,47.5,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-30,17.17,87.0,47.5,1,0.0,1.0,0.0,1.0,0
2018-01-31,7.96,53.33,69.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-02-01,16.47,73.0,66.0,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-02,19.01,63.33,40.0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-03,20.02,71.0,39.0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-04,14.47,67.0,47.0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-05,24.29,55.67,26.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-06,28.94,59.0,20.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-07,37.97,65.67,27.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-08,51.48,122.33,47.5,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-09,40.97,86.67,31.0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-10,20.14,72.0,65.0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-11,11.77,61.33,67.0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-12,18.39,102.33,64.0,2,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-13,22.83,73.33,52.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-14,23.84,77.67,43.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-15,18.06,96.0,45.0,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-16,39.56,98.0,49.0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-17,36.65,107.0,42.0,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-18,42.28,82.67,51.0,2,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-19,34.69,79.33,25.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-20,23.66,72.33,38.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-21,67.35,62.5,47.5,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
