Date_time,PM25,PM10,NO2,O3,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-02-17,23.76,42.04,104.4,53.0,0,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-18,27.45,38.62,83.4,50.0,0,2,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-19,20.35,29.77,58.6,38.0,0,2,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-20,21.1,34.64,74.2,49.0,0,2,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-21,59.19,83.01,65.8,41.0,1,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-22,46.81,70.4,64.6,61.5,0,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-23,25.89,49.36,66.5,59.5,0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-24,29.58,41.19,63.0,65.0,0,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-25,18.95,29.13,58.5,64.5,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-26,17.76,38.63,63.5,66.0,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-27,25.8,45.05,72.5,56.0,0,2,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-28,31.8,64.41,72.25,62.5,0,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-03-01,37.86,56.85,62.25,53.5,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-02,28.52,41.84,68.75,67.0,0,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-03,17.1,33.44,68.25,67.5,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-04,12.7,16.78,61.25,66.0,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-05,13.14,29.81,85.4,66.5,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-06,11.69,23.08,76.2,71.5,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-07,11.47,17.76,73.0,75.0,0,1,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-08,10.77,18.2,74.6,71.5,0,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-09,17.32,26.35,89.25,62.5,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-10,15.9,21.26,94.6,63.0,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-11,7.83,13.05,41.2,82.0,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-12,8.49,18.0,51.5,74.5,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-13,14.23,30.45,69.6,69.5,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-14,11.7,30.12,64.4,82.5,0,1,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-15,11.02,20.39,67.4,78.0,0,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-16,13.56,32.49,66.6,79.0,0,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
