Date_time,PM25,PM10,NO2,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-02-20,19.8,29.28,65.0,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-21,55.01,73.68,77.5,1,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-22,41.2,60.71,82.0,0,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-23,24.02,47.31,94.67,0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-24,27.73,42.43,71.33,0,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-25,18.55,30.05,90.33,0,2,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-26,17.11,35.98,71.67,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-27,25.26,42.58,104.67,0,2,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-28,29.9,47.08,76.33,0,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-03-01,32.99,45.79,60.33,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-02,30.35,44.86,123.67,0,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-03,20.48,36.38,120.0,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-04,16.58,24.28,87.67,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-05,16.97,39.06,130.67,0,2,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
2018-03-06,13.54,31.16,103.33,0,2,0.8660254037844386,0.5000000000000001,0.0,1.0,0
2018-03-07,9.13,14.0,110.67,0,2,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,0
2018-03-08,11.83,19.52,129.67,0,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0
2018-03-09,24.58,38.1,119.67,0,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0
2018-03-10,17.0,30.02,120.33,0,2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0
2018-03-11,10.91,20.65,76.33,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818235,-0.2225209339563146,0
2018-03-12,6.9,16.35,59.0,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680297,0.6234898018587336,0
