Date_time,PM10,NO2,O3,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-01-01,13.89,31.0,73.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-02,19.97,56.67,65.0,1,0.0,1.0,0.0,1.0,0
2018-01-03,18.78,35.0,75.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-04,13.1,42.67,62.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-05,19.12,76.67,77.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-06,26.29,73.33,40.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-07,22.45,39.67,31.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-08,24.05,47.0,28.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-09,29.9,49.33,29.0,1,0.0,1.0,0.0,1.0,0
2018-01-10,23.46,81.0,42.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-11,31.38,78.67,37.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-12,38.52,76.33,35.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-13,35.02,59.33,23.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-14,37.46,76.33,29.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-15,14.35,57.67,61.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-16,11.97,60.5,77.0,1,0.0,1.0,0.0,1.0,0
2018-01-17,16.24,47.5,81.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-18,15.99,55.0,70.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-19,12.44,76.33,67.0,1,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-20,10.47,48.0,61.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-21,13.32,68.33,58.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-22,10.95,70.0,65.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-23,17.32,88.0,63.0,1,0.0,1.0,0.0,1.0,0
2018-01-24,12.41,50.67,48.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-01-25,13.6,80.33,70.0,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0
2018-01-26,28.9,95.67,49.0,2,0.0,1.0,0.43388373911755823,-0.900968867902419,0
2018-01-27,27.75,78.0,30.0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0
2018-01-28,14.4,49.33,44.0,1,0.0,1.0,-0.9749279121818235,-0.2225209339563146,0
2018-01-29,11.18,56.0,55.0,1,0.0,1.0,-0.7818314824680297,0.6234898018587336,0
2018-01-30,13.92,70.0,55.0,1,0.0,1.0,0.0,1.0,0
2018-01-31,9.51,59.33,66.0,1,0.0,1.0,0.7818314824680297,0.6234898018587336,0
2018-02-01,16.61,70.67,66.0,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-02,20.62,64.0,43.0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-03,19.24,63.33,34.0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-04,15.81,54.33,49.0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-05,25.66,58.33,32.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-06,28.39,61.0,23.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-07,36.1,64.67,33.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-08,47.15,111.5,46.5,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-09,38.01,73.0,38.0,1,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-10,20.46,65.33,61.0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-11,14.27,52.0,65.0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-12,19.43,103.67,62.0,2,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-13,24.01,77.67,52.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-14,21.58,69.0,50.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-02-15,19.94,94.0,49.0,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-02-16,33.81,94.67,54.0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-02-17,37.74,99.67,48.0,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-02-18,41.23,90.0,54.0,2,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-02-19,30.43,76.33,28.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-02-20,25.17,71.0,46.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0
2018-02-21,70.13,66.33,44.0,2,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0
